<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,181115,00:00:00,5579.5200000
BTC-USD,D,181116,00:00:00,5512.2400000
BTC-USD,D,181117,00:00:00,5504.1700000
BTC-USD,D,181118,00:00:00,5560.0000000
BTC-USD,D,181119,00:00:00,4733.5000000
BTC-USD,D,181120,00:00:00,4349.2300000
BTC-USD,D,181121,00:00:00,4545.1100000
BTC-USD,D,181122,00:00:00,4265.3600000
BTC-USD,D,181123,00:00:00,4283.8000000
BTC-USD,D,181124,00:00:00,3774.9900000
BTC-USD,D,181125,00:00:00,3936.6900000
BTC-USD,D,181126,00:00:00,3731.3200000
BTC-USD,D,181127,00:00:00,3775.0000000
BTC-USD,D,181128,00:00:00,4225.0300000
BTC-USD,D,181129,00:00:00,4248.0000000
BTC-USD,D,181130,00:00:00,3976.0000000
BTC-USD,D,181201,00:00:00,4142.0100000
BTC-USD,D,181202,00:00:00,4103.1900000
BTC-USD,D,181203,00:00:00,3833.4700000
BTC-USD,D,181204,00:00:00,3901.8400000
BTC-USD,D,181205,00:00:00,3694.3900000
BTC-USD,D,181206,00:00:00,3433.2600000
BTC-USD,D,181207,00:00:00,3380.0100000
BTC-USD,D,181208,00:00:00,3401.0000000
BTC-USD,D,181209,00:00:00,3531.1800000
BTC-USD,D,181210,00:00:00,3410.1500000
BTC-USD,D,181211,00:00:00,3349.3600000
BTC-USD,D,181212,00:00:00,3430.2400000
BTC-USD,D,181213,00:00:00,3265.0000000
BTC-USD,D,181214,00:00:00,3195.7100000
BTC-USD,D,181215,00:00:00,3183.0000000
BTC-USD,D,181216,00:00:00,3195.0000000
BTC-USD,D,181217,00:00:00,3496.8200000
